dsL,pL,emL,cL
USGS Stream Gages,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Gross Evaporation Rate,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
Weather Stations,Class A Pan Evaporation Data,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Class A Pan Evaporation Data,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
Monthly Evaporation,Annual Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Weather Stations,Monthly Precipitation Volume,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
PRISM,Monthly Precipitation Volume,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Monthly Evaporation,Annual Evaporation,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
NA,NA,NA,Natural System Use-UT
NA,NA,NA,River Inflow-UT
NA,NA,NA,Riparian Depletions-UT
NA,NA,NA,Municipal and Domestic Use-WY
NA,NA,NA,Area Outflows-UT
NA,NA,NA,Change in Ground Water Storage-CO
NA,NA,NA,Ungaged Stream Gains-WY
NA,NA,NA,Basin Inflow-UT
