jL,cL,emL,pL,dsL
CA,Agricultural Applied Water,Cal-SIMETAW Model,Unknown,Cal-SIMETAW Unit Values
CA,Agricultural Applied Water,Central Valley Hydrologic Model (CVHM),Unknown,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Crop ET Requirements,Unknown
CA,Agricultural Applied Water,Crop ET Approach,ET of Applied Water,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Groundwater Extraction-CA,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Irrigation Efficiency,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Irrigation Recharge,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Precipitation Volume for Agricultural Area,Unknown
CA,Agricultural Applied Water,Crop ET Approach,Runoff Volume,Unknown
CA,Agricultural Applied Water,Unknown,Unknown,CA Local Agency Water Delivery Records
CA,Agricultural Applied Water,Unknown,Unknown,Existing California Water Plan
CA,Agricultural Applied Water,Unknown,Unknown,On-farm water use data
CA,Applied Water,Unknown,Unknown,CA Agricultural Water Management Plans
CA,Applied Water,Unknown,Unknown,CA DWR Demographic Data
CA,Applied Water,Unknown,Unknown,CA DWR Irrigation Methods Survey
CA,Applied Water,Unknown,Unknown,CA DWR Land Use Surveys
CA,Applied Water,Unknown,Unknown,CA DWR Land Use Viewer
CA,Applied Water,Unknown,Unknown,CA DWR SGMA Data Viewer
CA,Applied Water,Unknown,Unknown,CA Integrated Water Flow Model (IWFM)
CA,Applied Water,Unknown,Unknown,CA Integrated Water Flow Model (IWFM) Demand Calculator
CA,Applied Water,Unknown,Unknown,CA Urban Water Management Plans
CA,Applied Water,Unknown,Unknown,Cal-SIMETAW Unit Values
CA,Applied Water,Unknown,Unknown,California Agricultural Land and Water Use Estimates
CA,Applied Water,Unknown,Unknown,California Central Valley Simulation (C2VSim)
CA,Applied Water,Unknown,Unknown,California Department of Finance
CA,Applied Water,Unknown,Unknown,California Pesticide Information Portal
CA,Applied Water,Unknown,Unknown,California State Groundwater Elevation Monitoring (CASGEM)
CA,Applied Water,Unknown,Unknown,California Water Plan Portfolio
CA,Applied Water,Unknown,Unknown,CALSIM2
CA,Applied Water,Unknown,Unknown,Central Valley Hydrologic Model (CVHM)
CA,Applied Water,Unknown,Unknown,MODFLOW-OWHM: One Water Hydrologic Flow Model
CA,Applied Water,Unknown,Unknown,SWRCB Water Conservation Portal
CA,Applied Water,Unknown,Unknown,US Census Bureau
CA,Applied Water,Unknown,Unknown,USDA CropScape
CA,Applied Water,Unknown,Unknown,USDA Natural Resources Conservation Service Geospatial Web Soil Survey
